Gene	Degree	Exp	Low	High	Sum	Avg
AT1G02140	6	98.2239	3.62663	13.3177	36.15679	7.231358
AT1G56280	6	101.827	3.36214	10.1047	44.02612	7.3376866667
AT4G30490	6	6.65968	4.87903	14.7425	44.30006	7.3833433333
AT4G22220	6	84.0675	1.66465	14.355	46.01538	7.66923
AT1G17760	6	5.24071	0.965092	20.969	46.399292	7.7332153333
AT1G24590	6	0.0908146	3.8487	13.3211	46.52877	7.754795
AT1G12980	6	0.124467	3.8487	13.3211	46.52877	7.754795
AT3G20740	6	9.21686	0.0310575	13.9262	47.6536475	7.9422745833
AT2G16400	6	11.3249	1.01918	18.1358	48.00385	8.0006416667
AT3G12930	6	81.0755	2.0481	25.3479	48.64278	8.10713
AT2G35530	6	7.52965	1.26713	22.362	33.06226	8.265565
AT3G63010	6	1.64793	0.358038	17.5789	49.692128	8.2820213333
AT5G27320	6	6.47945	0.358038	17.5789	49.692128	8.2820213333
AT1G01230	6	15.9833	0.872886	18.61	41.975296	8.3950592
AT5G20240	6	1.0947	0.432752	18.6533	33.582317	8.39557925
AT1G12650	6	12.9981	0.589052	22.1011	50.490112	8.4150186667
AT4G28300	6	16.8553	0.67135	22.4939	51.69754	8.6162566667
AT2G05520	6	1037.77	0.0648888	22.7282	52.1172588	8.6862098
AT2G40940	6	10.6819	3.26806	18.7353	35.7743	8.943575
AT1G32150	6	4.68427	1.26713	22.362	35.90764	8.97691
AT4G38430	6	25.6006	1.0231	20.2977	45.06241	9.012482
AT1G03900	6	37.1358	0.852676	27.8494	56.629956	9.438326
AT5G45010	6	50.4433	0.353974	29.8781	57.014984	9.5024973333
AT3G15360	6	331.77	3.05285	22.2659	48.97464	9.794928
AT2G22670	6	65.9947	1.50621	18.6533	58.8097	9.8016166667
AT5G38410	6	22355.1	1.53849	20.7657	59.24611	9.8743516667
AT3G08850	6	9.59414	0.277277	28.0135	59.321367	9.8868945
AT1G64750	6	75.9522	1.73146	29.8781	60.05578	10.0092966667
AT3G09980	6	41.4735	2.3042	17.5822	40.20864	10.05216
AT1G49950	6	16.4767	7.64927	14.5479	30.78413	10.2613766667
AT5G37055	6	4.52463	4.46082	18.6533	41.11351	10.2783775
AT2G26800	6	13.2292	3.05285	18.6533	64.4844	10.7474
AT3G50060	6	6.54968	1.36124	28.9079	54.26026	10.852052
AT4G14455	6	5.89467	0.872886	26.1256	54.380406	10.8760812
AT1G22760	6	0.0571218	1.60402	17.8748	65.97097	10.9951616667
AT1G24050	6	35.5243	2.47605	23.5731	66.84117	11.140195
AT5G22630	6	4.57852	6.66074	15.6008	44.61026	11.152565
